# energy,k_k,kS_kL,pi_pi_pi0,eta_a,pi0_a,e_e,mu_mu,pi_pi,omega_pi0,etap_a
1.544298813304416e+01,1.242233968174999e-03,1.029571738505640e-03,8.838329530237938e-04,1.275231318600136e-05,5.209571029990912e-06,1.229521911862934e-06,8.454758696627410e-07,1.990596179211885e-07,1.709189094230469e-07,0.000000000000000e+00
1.573067540832346e+01,1.244730958436129e-03,1.007434230029930e-03,9.506437253779673e-04,1.381229207012561e-05,5.209571029990912e-06,1.206305750795003e-06,8.281565405866451e-07,1.948714964764559e-07,1.772848479948329e-07,0.000000000000000e+00
1.602372200704747e+01,1.288564431966614e-03,1.026594093260206e-03,9.430842262413483e-04,1.501095309625131e-05,5.209571029990912e-06,1.183514601101355e-06,8.111662745935100e-07,1.907640415016163e-07,1.842516645581223e-07,0.000000000000000e+00
1.632222776800034e+01,1.338742329253849e-03,1.084165404005393e-03,9.356751048613867e-04,1.635121144850318e-05,5.209571029990912e-06,1.161140697972514e-06,7.944990384425309e-07,1.867357928596835e-07,1.913191839662143e-07,0.000000000000000e+00
1.662629438986199e+01,1.391190743712450e-03,1.143428440252776e-03,1.002411259613011e-03,1.782697507122568e-05,5.209571029990912e-06,1.139176418750418e-06,7.781489089784633e-07,1.827852884083365e-07,1.988142816836471e-07,0.000000000000000e+00
1.693602546585603e+01,1.446063031513199e-03,1.203147604506368e-03,9.952948776209851e-04,1.939442464321479e-05,5.209571029990912e-06,1.117614280331383e-06,7.621100711148068e-07,1.789110934015554e-07,2.069950009542098e-07,0.000000000000000e+00
1.725152651904324e+01,1.502944082793340e-03,1.263318055225070e-03,9.883209339818996e-04,2.105018011819187e-05,5.209571029990912e-06,1.096446936616606e-06,7.463768158538484e-07,1.751118159333557e-07,2.158038413244617e-07,0.000000000000000e+00
1.757290503827247e+01,1.561757036635344e-03,1.323932384155617e-03,1.054524159961870e-03,2.279352075819000e-05,5.209571029990912e-06,1.075667176009347e-06,7.309435383428911e-07,1.713860529730804e-07,2.247638160384586e-07,0.000000000000000e+00
1.790027051480126e+01,1.622473093881262e-03,1.384963096959784e-03,1.047827452911378e-03,2.462717299257603e-05,5.209571029990912e-06,1.055267918957933e-06,7.158047359660128e-07,1.677324830577634e-07,2.336387413482906e-07,0.000000000000000e+00
1.823373447959877e+01,1.685025572910236e-03,1.446519803648830e-03,1.041265623189567e-03,2.655536633100880e-05,5.209571029990912e-06,1.035242215543740e-06,7.009550064706966e-07,1.641497590596946e-07,2.427945239231798e-07,0.000000000000000e+00
1.857341054134341e+01,1.749381611763516e-03,1.508465880571143e-03,1.103981212983039e-03,2.859582591648287e-05,5.209571029990912e-06,1.015583243113346e-06,6.863890461287086e-07,1.606365706285808e-07,2.518432361687402e-07,0.000000000000000e+00
