# energy,pi_pi_pi0,pi_pi,mu_mu
1.517814760014943e+00,5.958675371946540e-04,1.486395645085550e-05,8.847284729263088e-08
1.546090116372504e+00,6.173786143217826e-04,1.538714957681950e-05,9.152308999964789e-08
1.574892214067815e+00,6.396475722013173e-04,1.592798105514072e-05,9.467227877179176e-08
1.604230865760119e+00,6.627000048020581e-04,1.648699823855640e-05,9.792323728191364e-08
1.634116066908591e+00,6.865623030940490e-04,1.706476246214446e-05,1.012788443056909e-07
1.664557999177718e+00,7.112616755994062e-04,1.766184919331210e-05,1.047420328854707e-07
1.695567033906116e+00,7.368261691796170e-04,1.827884816602777e-05,1.083157892970872e-07
1.727153735639967e+00,7.632846900376583e-04,1.891636349748560e-05,1.120031518028154e-07
1.759328865732280e+00,7.906670249107443e-04,1.957501378525437e-05,1.158072091724560e-07
1.792103386009204e+00,8.190038624267521e-04,2.025543218281581e-05,1.197310989532999e-07
1.825488462504641e+00,8.483268145944318e-04,2.095826645124157e-05,1.237780054683975e-07
1.859495469264429e+00,8.786684383943212e-04,2.168417898459111e-05,1.279511575211523e-07
1.894135992221397e+00,9.100622574338713e-04,2.243384680643547e-05,1.322538257827591e-07
1.929421833142601e+00,9.425427836266357e-04,2.320796153472280e-05,1.366893198374180e-07
1.965365013650102e+00,9.761455388514239e-04,2.400722931200013e-05,1.412609848585648e-07
2.001977779316639e+00,1.010907076543116e-03,2.483237069779141e-05,1.459721978875596e-07
2.039272603837611e+00,1.046865003162304e-03,2.568412051970362e-05,1.508263636843665e-07
2.077262193280760e+00,1.084057999486070e-03,2.656322767958905e-05,1.558269101177287e-07
2.115959490415044e+00,1.122525841657042e-03,2.747045491083443e-05,1.609772830601867e-07
2.155377679120140e+00,1.162309421922273e-03,2.840657848257056e-05,1.662809407509966e-07
2.195530188878086e+00,1.203450768987557e-03,2.937238784630450e-05,1.717413475875745e-07
2.236430699348613e+00,1.245993067906434e-03,3.036868522016420e-05,1.773619673035103e-07
2.278093145029698e+00,1.289980679416299e-03,3.139628510561404e-05,1.831462554884479e-07
2.320531720004946e+00,1.335459158626773e-03,3.245601373114702e-05,1.890976514022200e-07
2.363760882779406e+00,1.382475272957699e-03,3.354870841708510e-05,1.952195690325303e-07
2.407795361205478e+00,1.431077019215796e-03,3.467521685522012e-05,2.015153873421968e-07
2.452650157500579e+00,1.481313639690167e-03,3.583639629660437e-05,2.079884396484804e-07
2.498340553358288e+00,1.533235637137292e-03,3.703311264034968e-05,2.146420020733294e-07
2.544882115154707e+00,1.586894788516118e-03,3.826623941581525e-05,2.214792809994440e-07
2.592290699251804e+00,1.642344157322943e-03,3.953665665005647e-05,2.285033994628980e-07
2.640582457399560e+00,1.699638104364349e-03,4.084524961186605e-05,2.357173824086390e-07
